 ADSN:College of Art and Design
 AGRI:College of Agriculture
 BADM:E.J. Ourso College of Business
 EDUC:College of Education
 ENGR:College of Engineering
 HSS:College of Humanities and Social Sciences
 MCOM:Manship School of Mass Communication
 MDA:College of Music and Dramatic Arts
 SCE:School of the Coast and Environment
 SCI:College of Science
 UCFY:University College Center for Freshman Year
